SecondsFromStart,FramesFromStart,FoxesPopulation,RabbitPopulation,RabbitSpeedMedian,RabbitSensoryRangeMedian,RabbitFertilityMedian,FoxSpeedMedian,FoxSensoryRangeMedian,FoxFertilityMedian,MinRabbitLifeTime,AverageRabbitLifeTime,MaxRabbitLifeTime,MinFoxLifeTime,AverageFoxLifeTime,MaxFoxLifeTime,FoxesDiedOfHunger,FoxesDiedOfThirst,RabbitsDiedOfHunger,RabbitsDiedOfThirst,RabbitsDiedOfBeingEaten
59,8521811350,2,4,69,59,44,50,50,50,11350,11350,11350,0,0,0,0,0,0,0,0
60,0947311400,2,4,69,59,44,50,50,50,11400,11400,11400,0,0,0,0,0,0,0,0
60,3564411450,2,4,69,59,44,50,50,50,11450,11450,11450,0,0,0,0,0,0,0,0
60,5969611500,2,4,69,59,44,50,50,50,11500,11500,11500,0,0,0,0,0,0,0,0
60,8596711550,2,4,69,59,44,50,50,50,11550,11550,11550,0,0,0,0,0,0,0,0
61,1174911600,2,4,69,59,44,50,50,50,11600,11600,11600,0,0,0,0,0,0,0,0
61,379611650,2,4,69,59,44,50,50,50,11650,11650,11650,0,0,0,0,0,0,0,0
61,6161111700,2,4,69,59,44,50,50,50,11700,11700,11700,0,0,0,0,0,0,0,0
61,8767511750,2,4,69,59,44,50,50,50,11750,11750,11750,0,0,0,0,0,0,0,0
62,1166411800,2,4,69,59,44,50,50,50,11800,11800,11800,0,0,0,0,0,0,0,0
62,3822411850,2,4,69,59,44,50,50,50,11850,11850,11850,0,0,0,0,0,0,0,0
62,6455411900,2,4,69,59,44,50,50,50,11900,11900,11900,0,0,0,0,0,0,0,0
62,8848811950,2,4,69,59,44,50,50,50,11950,11950,11950,0,0,0,0,0,0,0,0
63,1218712000,2,4,69,59,44,50,50,50,12000,12000,12000,0,0,0,0,0,0,0,0
63,3788912050,2,4,69,59,44,50,50,50,12050,12050,12050,0,0,0,0,0,0,0,0
63,6124612100,2,4,69,59,44,50,50,50,12100,12100,12100,0,0,0,0,0,0,0,0
63,869912150,2,4,69,59,44,50,50,50,12150,12150,12150,0,0,0,0,0,0,0,0
64,1059312200,2,4,69,59,44,50,50,50,12200,12200,12200,0,0,0,0,0,0,0,0
64,3713112250,2,4,69,59,44,50,50,50,12250,12250,12250,0,0,0,0,0,0,0,0
64,6065512300,2,4,69,59,44,50,50,50,12300,12300,12300,0,0,0,0,0,0,0,0
64,8633812350,2,4,69,59,44,50,50,50,12350,12350,12350,0,0,0,0,0,0,0,0
65,106112400,2,4,69,59,44,50,50,50,12400,12400,12400,0,0,0,0,0,0,0,0
65,3637512450,2,4,69,59,44,50,50,50,12450,12450,12450,0,0,0,0,0,0,0,0
65,598812500,2,4,69,59,44,50,50,50,12500,12500,12500,0,0,0,0,0,0,0,0
65,8570412550,2,4,69,59,44,50,50,50,12550,12550,12550,0,0,0,0,0,0,0,0
66,0994912600,2,4,69,59,44,50,50,50,12600,12600,12600,0,0,0,0,0,0,0,0
66,3552212650,2,4,69,59,44,50,50,50,12650,12650,12650,0,0,0,0,0,0,0,0
66,5881412700,2,4,69,59,44,50,50,50,12700,12700,12700,0,0,0,0,0,0,0,0
66,8233212750,2,4,69,59,44,50,50,50,12750,12750,12750,0,0,0,0,0,0,0,0
67,080512800,2,4,69,59,44,50,50,50,12800,12800,12800,0,0,0,0,0,0,0,0
67,3153712850,2,4,69,59,44,50,50,50,12850,12850,12850,0,0,0,0,0,0,0,0
67,5724712900,2,4,69,59,44,50,50,50,12900,12900,12900,0,0,0,0,0,0,0,0
67,8074412950,2,4,69,59,44,50,50,50,12950,12950,12950,0,0,0,0,0,0,0,0
68,0721613000,2,4,69,59,44,50,50,50,13000,13000,13000,0,0,0,0,0,0,0,0
68,3110113050,2,4,69,59,44,50,50,50,13050,13050,13050,0,0,0,0,0,0,0,0
68,5703513100,2,4,69,59,44,50,50,50,13100,13100,13100,0,0,0,0,0,0,0,0
68,8077113150,2,4,69,59,44,50,50,50,13150,13150,13150,0,0,0,0,0,0,0,0
69,0688713200,2,4,69,59,44,50,50,50,13200,13200,13200,0,0,0,0,0,0,0,0
69,3054713250,2,4,69,59,44,50,50,50,13250,13250,13250,0,0,0,0,0,0,0,0
69,5644113300,2,4,69,59,44,50,50,50,13300,13300,13300,0,0,0,0,0,0,0,0
69,8124813350,2,4,69,59,44,50,50,50,13350,13350,13350,0,0,0,0,0,0,0,0
70,0677913400,2,4,69,59,44,50,50,50,13400,13400,13400,0,0,0,0,0,0,0,0
70,3054313450,2,4,69,59,44,50,50,50,13450,13450,13450,0,0,0,0,0,0,0,0
70,5655813500,2,4,69,59,44,50,50,50,13500,13500,13500,0,0,0,0,0,0,0,0
