SecondsFromStart,FramesFromStart,FoxesPopulation,RabbitPopulation,RabbitSpeedMedian,RabbitSensoryRangeMedian,RabbitFertilityMedian,FoxSpeedMedian,FoxSensoryRangeMedian,FoxFertilityMedian,FoxesDiedOfHunger,FoxesDiedOfThirst,RabbitsDiedOfHunger,RabbitsDiedOfThirst,RabbitsDiedOfBeingEaten
78.45481,16800,0,4,69,59,44,,,,0,0,0,0,0
78.67525,16850,0,4,69,59,44,,,,0,0,0,0,0
78.92957,16900,0,4,69,59,44,,,,0,0,0,0,0
79.15443,16950,0,4,69,59,44,,,,0,0,0,0,0
79.36961,17000,0,4,69,59,44,,,,0,0,0,0,0
79.58807,17050,0,4,69,59,44,,,,0,0,0,0,0
79.83324,17100,0,4,69,59,44,,,,0,0,0,0,0
80.05314,17150,0,4,69,59,44,,,,0,0,0,0,0
80.27152,17200,0,4,69,59,44,,,,0,0,0,0,0
80.51393,17250,0,4,69,59,44,,,,0,0,0,0,0
80.74229,17300,0,4,69,59,44,,,,0,0,0,0,0
80.96516,17350,0,4,69,59,44,,,,0,0,0,0,0
81.2117,17400,0,4,69,59,44,,,,0,0,0,0,0
81.44331,17450,0,4,69,59,44,,,,0,0,0,0,0
81.67448,17500,0,4,69,59,44,,,,0,0,0,0,0
81.93024,17550,0,4,69,59,44,,,,0,0,0,0,0
82.15885,17600,0,4,69,59,44,,,,0,0,0,0,0
82.4311,17650,0,4,69,59,44,,,,0,0,0,0,0
82.65693,17700,0,4,69,59,44,,,,0,0,0,0,0
82.91119,17750,0,4,69,59,44,,,,0,0,0,0,0
83.14327,17800,0,4,69,59,44,,,,0,0,0,0,0
83.37454,17850,0,4,69,59,44,,,,0,0,0,0,0
83.62644,17900,0,4,69,59,44,,,,0,0,0,0,0
83.86318,17950,0,4,69,59,44,,,,0,0,0,0,0
84.12737,18000,0,4,69,59,44,,,,0,0,0,0,0
84.36351,18050,0,4,69,59,44,,,,0,0,0,0,0
84.58346,18100,0,4,69,59,44,,,,0,0,0,0,0
84.82712,18150,0,4,69,59,44,,,,0,0,0,0,0
85.0489,18200,0,4,69,59,44,,,,0,0,0,0,0
85.27122,18250,0,4,69,59,44,,,,0,0,0,0,0
85.51913,18300,0,4,69,59,44,,,,0,0,0,0,0
85.74246,18350,0,4,69,59,44,,,,0,0,0,0,0
86.02437,18400,0,3,65,20,36,,,,0,0,0,1,0
86.24995,18450,0,3,65,20,36,,,,0,0,0,1,0
86.48218,18500,0,3,65,20,36,,,,0,0,0,1,0
86.72282,18550,0,3,65,20,36,,,,0,0,0,1,0
86.95052,18600,0,3,65,20,36,,,,0,0,0,1,0
87.18238,18650,0,3,65,20,36,,,,0,0,0,1,0
87.41296,18700,0,3,65,20,36,,,,0,0,0,1,0
